free, "Displays the total amount of free space available along with the amount of memory used and swap memory in the system, and also the buffers used by the kernel"
finger, "It is a user information lookup command which gives details of all the users logged in"
find, "Used to find files and directories and perform subsequent operations on them"
clear, "Used to clear the terminal screen"
exit, "Used to exit the shell where it is currently running"
echo, "Used to display line of text/string that are passed as an argument"
grep, "Searches a file for a particular pattern of characters, and displays all lines that contain that pattern"
df, "Used to display information related to file systems about total space and available space"
chown, "Used to change the file Owner or group"
alias, "Instructs the shell to replace one string with another string while executing the commands"
cat, "Reads data from file and gives their content as output. It helps us to create, view, concatenate files"
chmod, "Used to change the access mode of a file"
who, "Used to get information about currently logged in user on to system"
top, "Provides a dynamic real-time view of the running system"
kill, "Used to terminate processes manually. kill command sends a signal to a process which terminates the process"
ps, "Used to list the currently running processes and their PIDs along with some other information depends on different options"
make, "Utility for building and maintaining groups of programs"
gcc, "GNU Compiler Collections is used to compile mainly C and C++ language. It can also be used to compile Objective C and Objective C++"
g++, "Used for preprocessing, compilation, assembly and linking of source code to generate an executable file"
man, "Used to display the user manual of any command that we can run on the terminal"
scp, "Used to copy file(s) between servers in a secure way"
ssh, "Protocol used to securely connect to a remote server/system"
mv, "Used to move one or more files or directories from one place to another in file system like UNIX"
cp, "Used to copy files or group of files or directory"
rm, "Used to remove objects such as files, directories, symbolic links and so on from the file system like UNIX"
rmdir, "Used to remove empty directories from the filesystem in Linux"
mkdir, "Allows the user to create directories. This command can create multiple directories at once"
cd, "Known as change directory command. It is used to change current working directory"
ls, "Short for lists; displays the file and directory names in the current working directory"
pwd, "It prints the path of the working directory, starting from the root"
